[12-Jun-2023 22:26:33 UTC] PHP Fatal error:  Trait "App\Http\Livewire\WithFileUploads" not found in C:\laragon\www\campus-chronicles\app\Http\Livewire\EditPodcast.php on line 7
[17-Jun-2023 15:02:37 UTC] PHP Fatal error:  Trait "getID3\getID3\getid3" not found in C:\laragon\www\campus-chronicles\app\Http\Controllers\EpisodeController.php on line 12
[17-Jun-2023 15:05:00 UTC] PHP Fatal error:  Trait "App\Http\Controllers\getID3\getID3" not found in C:\laragon\www\campus-chronicles\app\Http\Controllers\EpisodeController.php on line 11
[17-Jun-2023 15:05:19 UTC] PHP Fatal error:  Trait "getID3\getID3\getID3" not found in C:\laragon\www\campus-chronicles\app\Http\Controllers\EpisodeController.php on line 12
[19-Jun-2023 19:37:22 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 528384 bytes) in C:\laragon\www\campus-chronicles\vendor\livewire\livewire\src\LivewireManager.php on line 98
[19-Jun-2023 19:37:22 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 872448 bytes) in C:\laragon\www\campus-chronicles\vendor\spatie\ignition\src\ErrorPage\ErrorPageViewModel.php on line 104
[19-Jun-2023 19:37:49 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 528384 bytes) in C:\laragon\www\campus-chronicles\vendor\livewire\livewire\src\LivewireManager.php on line 98
[19-Jun-2023 19:37:49 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 872448 bytes) in C:\laragon\www\campus-chronicles\vendor\spatie\ignition\src\ErrorPage\ErrorPageViewModel.php on line 104
[19-Jun-2023 19:38:15 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 528384 bytes) in C:\laragon\www\campus-chronicles\vendor\livewire\livewire\src\LivewireManager.php on line 98
[19-Jun-2023 19:38:15 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 872448 bytes) in C:\laragon\www\campus-chronicles\vendor\spatie\ignition\src\ErrorPage\ErrorPageViewModel.php on line 104
[19-Jun-2023 19:39:00 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 528384 bytes) in C:\laragon\www\campus-chronicles\vendor\livewire\livewire\src\LivewireManager.php on line 98
[19-Jun-2023 19:39:00 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 872448 bytes) in C:\laragon\www\campus-chronicles\vendor\spatie\ignition\src\ErrorPage\ErrorPageViewModel.php on line 104
[19-Jun-2023 19:39:34 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in C:\laragon\www\campus-chronicles\vendor\laravel\framework\src\Illuminate\View\Engines\CompilerEngine.php on line 103
[19-Jun-2023 19:39:34 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 872448 bytes) in C:\laragon\www\campus-chronicles\vendor\spatie\ignition\src\ErrorPage\ErrorPageViewModel.php on line 104
